region2,idleshare_all_all,onlyworkshare_all_all,onlyschoolshare_all_all,bothshare_all_all,idleshare_male_all,onlyworkshare_male_all,onlyschoolshare_male_all,bothshare_male_all,idleshare_fem_all,onlyworkshare_fem_all,onlyschoolshare_fem_all,bothshare_fem_all,idleshare_all_white,onlyworkshare_all_white,onlyschoolshare_all_white,bothshare_all_white,idleshare_all_black,onlyworkshare_all_black,onlyschoolshare_all_black,bothshare_all_black,idleshare_all_hisp,onlyworkshare_all_hisp,onlyschoolshare_all_hisp,bothshare_all_hisp,idleshare_male_white,onlyworkshare_male_white,onlyschoolshare_male_white,bothshare_male_white,idleshare_male_black,onlyworkshare_male_black,onlyschoolshare_male_black,bothshare_male_black,idleshare_male_hisp,onlyworkshare_male_hisp,onlyschoolshare_male_hisp,bothshare_male_hisp,idleshare_fem_white,onlyworkshare_fem_white,onlyschoolshare_fem_white,bothshare_fem_white,idleshare_fem_black,onlyworkshare_fem_black,onlyschoolshare_fem_black,bothshare_fem_black,idleshare_fem_hisp,onlyworkshare_fem_hisp,onlyschoolshare_fem_hisp,bothshare_fem_hisp
Northeast,0.061312035,0.097994268,0.644869924,0.195823759,0.069369897,0.120587438,0.637221158,0.172821507,0.053632144,0.076460876,0.652159929,0.217747033,0.059237964,0.098570257,0.630054116,0.212137654,0.035412092,0.109126933,0.64776057,0.207700387,0.092635736,0.119041428,0.637922287,0.150400549,0.069677249,0.127064928,0.628282309,0.174975529,0.049175039,0.123356365,0.60638088,0.221087739,0.097252034,0.128920317,0.638906002,0.13492164,0.048678264,0.069746904,0.631846368,0.249728441,0.022610705,0.095891647,0.686249316,0.195248336,0.088836767,0.110911623,0.637112737,0.163138881
Midwest,0.050940014,0.122030757,0.547661602,0.279367656,0.049298264,0.141758487,0.557997882,0.250945359,0.05265959,0.101367854,0.536835253,0.309137285,0.049486373,0.116868041,0.540317714,0.293327898,0.067559496,0.123642325,0.550998747,0.257799417,0.041246135,0.165244699,0.547420263,0.246088892,0.054476384,0.139947727,0.55401963,0.251556247,0.045260616,0.161666393,0.567478597,0.225594372,0.035747945,0.1565824,0.535184324,0.272485346,0.044010129,0.091539457,0.525280595,0.33916983,0.085683197,0.092737772,0.53760457,0.283974469,0.047287136,0.174762204,0.56086427,0.21708639
South,0.084864199,0.111026019,0.621108174,0.183001593,0.087328874,0.125718355,0.618991017,0.167961761,0.082348853,0.096031658,0.623268902,0.198350593,0.08419086,0.117473178,0.589317977,0.209017992,0.104465425,0.098997228,0.627289891,0.169247478,0.075420342,0.123742685,0.642993093,0.157843888,0.079999022,0.13989073,0.586957574,0.193152666,0.117134266,0.097411744,0.65376991,0.131684095,0.079642959,0.142143622,0.619101882,0.159111515,0.088430613,0.09479937,0.591705322,0.225064695,0.091512904,0.100618213,0.600216866,0.207652003,0.070856817,0.103856146,0.668813109,0.156473935
West,0.071819723,0.128005445,0.603744626,0.196430221,0.076526403,0.145898879,0.596055746,0.181518972,0.066876367,0.10921225,0.611820102,0.212091267,0.062741153,0.125264093,0.570769668,0.241225109,0.057936333,0.150680423,0.649153173,0.142230093,0.082228459,0.151489303,0.585238934,0.181043327,0.065124415,0.141579121,0.559777379,0.233519062,0.043648727,0.218926206,0.63387692,0.103548154,0.088922121,0.175478175,0.576786637,0.158813074,0.060108226,0.107239924,0.582913399,0.249738425,0.06887836,0.098415077,0.660852313,0.171854272,0.075440221,0.127161488,0.593810618,0.203587666
